type_masque_lointain;secteur;orientation_baie;hauteur_masque_alpha/gte;hauteur_masque_alpha/lt;omb;orientation_masque_defaut;hauteur_alpha_defaut;tv_coef_masque_lointain_non_homogene_id
non_homogene;secteur_lateral_ouest;N;;15;0;292.5;7.5;1
non_homogene;secteur_lateral_ouest;N;15;30;4;292.5;22.5;2
non_homogene;secteur_lateral_ouest;N;30;60;13;292.5;45;3
non_homogene;secteur_lateral_ouest;N;60;;15;292.5;60;4
non_homogene;secteur_central_ouest;N;;15;0;337.5;7.5;5
non_homogene;secteur_central_ouest;N;15;30;14;337.5;22.5;6
non_homogene;secteur_central_ouest;N;30;60;35;337.5;45;7
non_homogene;secteur_central_ouest;N;60;;40;337.5;60;8
non_homogene;secteur_central_est;N;;15;0;22.5;7.5;5
non_homogene;secteur_central_est;N;15;30;14;22.5;22.5;6
non_homogene;secteur_central_est;N;30;60;35;22.5;45;7
non_homogene;secteur_central_est;N;60;;40;22.5;60;8
non_homogene;secteur_lateral_est;N;;15;0;67.5;7.5;1
non_homogene;secteur_lateral_est;N;15;30;4;112.5;22.5;2
non_homogene;secteur_lateral_est;N;30;60;13;67.5;45;3
non_homogene;secteur_lateral_est;N;60;;15;112.5;60;4
non_homogene;secteur_lateral_nord;E;;15;0;22.5;7.5;17
non_homogene;secteur_lateral_nord;E;15;30;5;22.5;22.5;18
non_homogene;secteur_lateral_nord;E;30;60;17;22.5;45;19
non_homogene;secteur_lateral_nord;E;60;;25;22.5;60;20
non_homogene;secteur_central_nord;E;;15;0;67.5;7.5;17
non_homogene;secteur_central_nord;E;15;30;5;67.5;22.5;18
non_homogene;secteur_central_nord;E;30;60;17;67.5;45;19
non_homogene;secteur_central_nord;E;60;;25;67.5;60;20
non_homogene;secteur_central_sud;E;;15;0;112.5;7.5;13
non_homogene;secteur_central_sud;E;15;30;17;112.5;22.5;14
non_homogene;secteur_central_sud;E;30;60;40;112.5;45;15
non_homogene;secteur_central_sud;E;60;;45;112.5;60;16
non_homogene;secteur_lateral_sud;E;;15;0;157.5;7.5;9
non_homogene;secteur_lateral_sud;E;15;30;14;157.5;22.5;10
non_homogene;secteur_lateral_sud;E;30;60;27;157.5;45;11
non_homogene;secteur_lateral_sud;E;60;;30;157.5;60;12
non_homogene;secteur_lateral_est;S;;15;0;112.5;7.5;1
non_homogene;secteur_lateral_est;S;15;30;4;112.5;22.5;2
non_homogene;secteur_lateral_est;S;30;60;13;112.5;45;3
non_homogene;secteur_lateral_est;S;60;;15;112.5;60;4
non_homogene;secteur_central_est;S;;15;0;157.5;7.5;5
non_homogene;secteur_central_est;S;15;30;14;157.5;22.5;6
non_homogene;secteur_central_est;S;30;60;35;157.5;45;7
non_homogene;secteur_central_est;S;60;;40;157.5;60;8
non_homogene;secteur_central_ouest;S;;15;0;202.5;7.5;5
non_homogene;secteur_central_ouest;S;15;30;14;202.5;22.5;6
non_homogene;secteur_central_ouest;S;30;60;35;202.5;45;7
non_homogene;secteur_central_ouest;S;60;;40;202.5;60;8
non_homogene;secteur_lateral_ouest;S;;15;0;247.5;7.5;1
non_homogene;secteur_lateral_ouest;S;15;30;4;247.5;22.5;2
non_homogene;secteur_lateral_ouest;S;30;60;13;247.5;45;3
non_homogene;secteur_lateral_ouest;S;60;;15;247.5;60;4
non_homogene;secteur_lateral_sud;O;;15;0;202.5;7.5;9
non_homogene;secteur_lateral_sud;O;15;30;14;202.5;22.5;10
non_homogene;secteur_lateral_sud;O;30;60;27;202.5;45;11
non_homogene;secteur_lateral_sud;O;60;;30;202.5;60;12
non_homogene;secteur_central_sud;O;;15;0;247.5;7.5;13
non_homogene;secteur_central_sud;O;15;30;17;247.5;22.5;14
non_homogene;secteur_central_sud;O;30;60;40;247.5;45;15
non_homogene;secteur_central_sud;O;60;;45;247.5;60;16
non_homogene;secteur_central_nord;O;;15;0;292.5;7.5;17
non_homogene;secteur_central_nord;O;15;30;5;292.5;22.5;18
non_homogene;secteur_central_nord;O;30;60;17;292.5;45;19
non_homogene;secteur_central_nord;O;60;;25;292.5;60;20
non_homogene;secteur_lateral_nord;O;;15;0;337.5;7.5;17
non_homogene;secteur_lateral_nord;O;15;30;5;337.5;22.5;18
non_homogene;secteur_lateral_nord;O;30;60;17;337.5;45;19
non_homogene;secteur_lateral_nord;O;60;;25;337.5;60;20
