type_generateur;mode_combustion;temperature_distribution;annee_installation_emetteur/gte;annee_installation_emetteur/lte;annee_installation_generateur/gte;annee_installation_generateur/lte;tfonc30
chaudiere;standard;basse;;1980;;1990;53
chaudiere;standard;basse;1981;2000;;1990;50
chaudiere;standard;basse;2001;;;1990;50
chaudiere;standard;moyenne;;1980;;1990;59
chaudiere;standard;moyenne;1981;2000;;1990;56
chaudiere;standard;moyenne;2001;;;1990;53
chaudiere;standard;haute;;1980;;1990;59
chaudiere;standard;haute;1981;2000;;1990;56
chaudiere;standard;haute;2001;;;1990;56
chaudiere;standard;basse;;1980;1991;;49.5
chaudiere;standard;basse;1981;2000;1991;;45
chaudiere;standard;basse;2001;;1991;;45
chaudiere;standard;moyenne;;1980;1991;;55.5
chaudiere;standard;moyenne;1981;2000;1991;;52.5
chaudiere;standard;moyenne;2001;;1991;;49.5
chaudiere;standard;haute;;1980;1991;;55.5
chaudiere;standard;haute;1981;2000;1991;;52.5
chaudiere;standard;haute;2001;;;;52.5
chaudiere;basse_temperature;basse;;1980;;;42.5
chaudiere;basse_temperature;basse;1981;2000;;;35
chaudiere;basse_temperature;basse;2001;;;;35
chaudiere;basse_temperature;moyenne;;1980;;;48.5
chaudiere;basse_temperature;moyenne;1981;2000;;;45.5
chaudiere;basse_temperature;moyenne;2001;;;;42.5
chaudiere;basse_temperature;haute;;1980;;;48.5
chaudiere;basse_temperature;haute;1981;2000;;;45.5
chaudiere;basse_temperature;haute;2001;;;;45.5
chaudiere;condensation;basse;;1980;;;32
chaudiere;condensation;basse;1981;2000;;;24.5
chaudiere;condensation;basse;2001;;;;24.5
chaudiere;condensation;moyenne;;1980;;;38
chaudiere;condensation;moyenne;1981;2000;;;35
chaudiere;condensation;moyenne;2001;;;;32
chaudiere;condensation;haute;;1980;;;38
chaudiere;condensation;haute;1981;2000;;;35
chaudiere;condensation;haute;2001;;;;35
