type_baie;materiau;presence_rupteur_pont_thermique;type_vitrage;t;tv_coef_transparence_ets_id
polycarbonate;;;;0,4;1
;bois;;simple_vitrage;0,62;2
;bois;;double_vitrage;0,55;3
;bois;;double_vitrage_fe;0,48;4
;bois;;triple_vitrage;0,49;5
;bois;;triple_vitrage_fe;0,44;6
;bois_metal;;simple_vitrage;0,62;2
;bois_metal;;double_vitrage;0,55;3
;bois_metal;;double_vitrage_fe;0,48;4
;bois_metal;;triple_vitrage;0,49;5
;bois_metal;;triple_vitrage_fe;0,44;6
;pvc;;simple_vitrage;0,5;7
;pvc;;double_vitrage;0,45;8
;pvc;;double_vitrage_fe;0,39;9
;pvc;;triple_vitrage;0,4;10
;pvc;;triple_vitrage_fe;0,36;11
;metal;1;simple_vitrage;0,63;12
;metal;1;double_vitrage;0,56;13
;metal;1;double_vitrage_fe;0,48;14
;metal;1;triple_vitrage;0,5;15
;metal;1;triple_vitrage_fe;0,45;16
;metal;0;simple_vitrage;0,64;17
;metal;0;double_vitrage;0,58;18
;metal;0;double_vitrage_fe;0,5;19
;metal;0;triple_vitrage;0,52;20
;metal;0;triple_vitrage_fe;0,47;21
