orientation_pv/gt;orientation_pv/gte;orientation_pv/lt;orientation_pv/lte;inclinaison_pv/gt;inclinaison_pv/lte;kpv
;;67.5;;;;0
;67.5;;292.5;;15;1
;67.5;112.5;;15;45;0.96
;112.5;157.5;;15;45;1.03
;157.5;;202.5;15;45;1.07
202.5;;;247.5;15;45;1.03
247.5;;;292.5;15;45;0.96
;67.5;112.5;;45;75;0.83
;112.5;157.5;;45;75;0.94
;157.5;;202.5;45;75;0.97
202.5;;;247.5;45;75;0.94
247.5;;;292.5;45;75;0.83
;67.5;112.5;;75;;0.59
;112.5;157.5;;75;;0.71
;157.5;;202.5;75;;0.73
202.5;;;247.5;75;;0.71
247.5;;;292.5;75;;0.59
292.5;;;;;;0
