id;contenu_co2;contenu_co2_acv;taux_enr
0606F;0.063;0.106;0
0608F;0.016;0.028;0
1302F;0.014;0.026;0
1301F;0.011;0.021;0
1322F;0.073;0.121;0
3101F;0.011;0.021;0
3112F;0.011;0.022;0
3302F;0.008;0.017;0
3301F;0.017;0.032;0
3426F;0.015;0.028;0
3414F;0.013;0.024;0
3412F;0.01;0.02;0
3401F;0.073;0.09;0
3402F;0.013;0.024;0
3403F;0.013;0.024;0
3406F;0.013;0.025;0
3411F;0.01;0.02;0
3424F;0.014;0.027;0
3427F;0.009;0.022;0
3802F;0.014;0.026;0
4213F;0.013;0.024;0
5714F;0.008;0.017;0
6905F;0.011;0.022;0
7503F;0.007;0.015;0
7619F;0.098;0.16;0
8001F;0.043;0.073;0
8307F;0.013;0.025;0
9101F;0.032;0.055;0
9219F;0.014;0.026;0
9225F;0.013;0.024;0
9231F;0.011;0.021;0
9240F;0.011;0.026;0
9234F;0.011;0.023;0
9237F;0.01;0.021;0
9242F;0.011;0.026;0
9235F;0.022;0.039;0
9310F;0.053;0.089;0
9322F;0.006;0.013;0
9425F;0.009;0.019;0
9510F;0.01;0.02;0
